GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
search-service,com.search_service.config,SecurityConfig,23,0,0,0,5,0,4,0,4,0
search-service,com.search_service.util.cache,LocalCacheContext,261,0,14,0,54,0,20,0,13,0
search-service,com.search_service.util.cache,SynonymResolver,93,0,12,0,17,0,11,0,5,0
search-service,com.search_service.util.cache,GlobalCacheManager,11,0,0,0,2,0,2,0,2,0
search-service,com.search_service.util,ExcelUtils,643,0,86,0,143,0,64,0,19,0
search-service,com.search_service.mapper,ResidentialComplexOutMapper,244,0,40,0,68,0,28,0,8,0
search-service,com.search_service.mapper,ResidentialComplexMapperImpl,151,0,16,0,41,0,15,0,7,0
search-service,com.search_service.mapper,ReferenceMapperImpl,202,0,24,0,54,0,21,0,9,0
search-service,com.search_service.mapper,BuildingMapperImpl,112,0,12,0,29,0,11,0,5,0
search-service,com.search_service.mapper,EntranceMapperImpl,36,0,4,0,12,0,5,0,3,0
search-service,com.search_service.mapper,ApartmentMapperImpl,195,0,12,0,48,0,12,0,6,0
search-service,com.search_service.mapper,ResidentialComplexOutMapperImpl,3,0,0,0,1,0,1,0,1,0
search-service,com.search_service.service,BuildingService,36,32,3,1,8,6,3,2,1,2
search-service,com.search_service.service,LocationService,0,13,0,0,0,2,0,2,0,2
search-service,com.search_service.service,ResidentialComplexService,210,81,11,3,52,16,14,5,7,5
search-service,com.search_service.service,EntranceService,5,29,0,0,1,5,1,2,1,2
search-service,com.search_service.service,ApartmentService,47,100,2,2,9,18,4,6,3,5
search-service,com.search_service.service,DeveloperService,0,13,0,0,0,2,0,2,0,2
search-service,com.search_service.service,DistrictService,4,31,0,0,1,4,1,3,1,3
search-service,com.search_service.service,MetroService,0,13,0,0,0,2,0,2,0,2
search-service,com.search_service.specification,SpecificationBuilder,359,181,41,3,72,35,38,16,17,15
search-service,com.search_service.controller,MetroStationController,11,7,0,0,2,1,1,1,1,1
search-service,com.search_service.controller,TransferController,32,0,0,0,6,0,2,0,2,0
search-service,com.search_service.controller,DistrictController,20,0,0,0,3,0,2,0,2,0
search-service,com.search_service.controller,DevelopersController,11,7,0,0,2,1,1,1,1,1
search-service,com.search_service.controller,FrontController,7,0,0,0,3,0,3,0,3,0
search-service,com.search_service.controller,ApartmentController,12,27,0,0,2,6,1,3,1,3
search-service,com.search_service.controller,ComplexController,29,0,0,0,6,0,4,0,4,0
search-service,com.search_service.controller,LocationController,11,8,0,0,2,1,1,1,1,1
search-service,com.search_service.controller,BuildingController,26,0,0,0,3,0,2,0,2,0
search-service,com.search_service.controller,EntranceController,28,0,0,0,4,0,2,0,2,0
search-service,com.search_service,SearchServiceApplication,8,0,0,0,3,0,2,0,2,0
search-service,com.search_service.exception,TypeError,0,81,0,0,0,14,0,2,0,2
search-service,com.search_service.exception,EntityNotFoundException,4,6,0,0,2,2,1,1,1,1
search-service,com.search_service.exception,GeneralFormatException,50,13,0,0,10,4,2,1,2,1
search-service,com.search_service.exception,GlobalExceptionHandler,63,70,1,1,25,25,4,4,3,4
